model,label,precision,recall,f1,false_positive,false_negative
baseline,toxic,0.9212152420185376,0.5854057591623036,0.7158863545418167,153,1267
baseline,severe_toxic,0.5964912280701754,0.2118380062305296,0.3126436781609195,46,253
baseline,obscene,0.9275766016713092,0.5825072886297377,0.7156160458452722,78,716
baseline,threat,0.8571428571428571,0.081081081081081,0.1481481481481481,1,68
baseline,insult,0.850635593220339,0.4975216852540272,0.6278342455043002,141,811
baseline,identity_hate,0.7307692307692307,0.1292517006802721,0.2196531791907514,14,256
threshold_tuned,toxic,0.8158278628738147,0.7320026178010471,0.7716453949637806,505,819
threshold_tuned,severe_toxic,0.3922651933701657,0.6635514018691588,0.4930555555555556,330,108
threshold_tuned,obscene,0.8296249205340115,0.760932944606414,0.7937956204379562,268,410
threshold_tuned,threat,0.3793103448275862,0.4459459459459459,0.4099378881987577,54,41
threshold_tuned,insult,0.6933560477001703,0.7565055762081785,0.7235555555555555,540,393
threshold_tuned,identity_hate,0.3438256658595641,0.4829931972789115,0.4016973125884017,271,152
class_weight_balanced,toxic,0.6493150684931507,0.8530759162303665,0.7373780229104794,1408,449
class_weight_balanced,severe_toxic,0.2889858233369684,0.8255451713395638,0.4281098546042003,652,56
class_weight_balanced,obscene,0.6942263279445727,0.8763848396501458,0.7747422680412371,662,212
class_weight_balanced,threat,0.238095238095238,0.7432432432432432,0.360655737704918,176,19
class_weight_balanced,insult,0.5788611224907825,0.8754646840148699,0.6969173859432799,1028,201
class_weight_balanced,identity_hate,0.2559241706161137,0.7346938775510204,0.3796133567662565,628,78
distilbert,toxic,0.8514784946236559,0.8291884816753927,0.8401856763925729,442,522
distilbert,severe_toxic,0.6,0.2336448598130841,0.336322869955157,50,246
distilbert,obscene,0.8481613285883749,0.8338192419825073,0.8409291384886798,256,285
distilbert,threat,0.58,0.3918918918918919,0.4677419354838709,21,45
distilbert,insult,0.7816813048933501,0.7719950433705081,0.7768079800498753,348,368
distilbert,identity_hate,0.6903553299492385,0.4625850340136054,0.5539714867617108,61,158
